Flow,Category,Unit,Result
"Copper, ion",Emission to water,kg,1.4232E-12
"DOC, Dissolved Organic Carbon",Emission to water,kg,7.215E-10
Lead,Emission to water,kg,9.2911E-14
Mercury,Emission to water,kg,8.0369E-16
"Nickel, ion",Emission to water,kg,1.262E-13
"Zinc, ion",Emission to water,kg,9.155E-14
Acenaphthene,Emission to water,kg,4.9568E-12
Acenaphthylene,Emission to water,kg,3.1E-13
"Actinides, radioactive, unspecified",Emission to water,kBq,0.000042645
Aluminium,Emission to water,kg,3.8688E-07
"Ammonium, ion",Emission to water,kg,7.003E-08
"AOX, Adsorbable Organic Halogen as Cl",Emission to water,kg,2.9074E-10
"Arsenic, ion",Emission to water,kg,1.3755E-09
Barite,Emission to water,kg,0.000019912
Barium,Emission to water,kg,6.9504E-07
Benzene,Emission to water,kg,6.5982E-08
"Benzene, ethyl-",Emission to water,kg,1.9129E-08
"BOD5, Biological Oxygen Demand",Emission to water,kg,0.000085491
Boron,Emission to water,kg,6.56E-09
Bromine,Emission to water,kg,5.5784E-07
"Cadmium, ion",Emission to water,kg,7.5713E-10
"Calcium, ion",Emission to water,kg,0.000033079
"Carboxylic acids, unspecified",Emission to water,kg,4.6243E-06
Cesium,Emission to water,kg,7.9691E-10
Cesium-137,Emission to water,kBq,0.0048867
Chloride,Emission to water,kg,0.00039992
"Chlorinated solvents, unspecified",Emission to water,kg,6.91E-16
"Chromium, ion",Emission to water,kg,4.1877E-09
Cobalt,Emission to water,kg,1.4721E-10
"COD, Chemical Oxygen Demand",Emission to water,kg,0.000086325
"Copper, ion",Emission to water,kg,5.3135E-08
Cyanide,Emission to water,kg,9.0856E-08
"DOC, Dissolved Organic Carbon",Emission to water,kg,0.000028177
Fluoride,Emission to water,kg,1.6739E-07
Glutaraldehyde,Emission to water,kg,2.4582E-09
"Heat, waste",Emission to water,MJ,0.00015506
"Hydrocarbons, aliphatic, alkanes, unspecified",Emission to water,kg,1.036E-07
"Hydrocarbons, aliphatic, unsaturated",Emission to water,kg,9.5629E-09
"Hydrocarbons, aromatic",Emission to water,kg,4.5458E-07
"Hydrocarbons, unspecified",Emission to water,kg,3.7361E-07
"Hydrogen-3, Tritium",Emission to water,kBq,10.153
Hypochlorite,Emission to water,kg,3.1167E-07
Iodide,Emission to water,kg,7.9691E-08
"Iron, ion",Emission to water,kg,4.3175E-08
Lead,Emission to water,kg,7.3405E-09
Lead-210,Emission to water,kBq,0.000021758
Magnesium,Emission to water,kg,4.3936E-06
Manganese,Emission to water,kg,3.5456E-08
Mercury,Emission to water,kg,3.8174E-11
Methanol,Emission to water,kg,6.2114E-08
Molybdenum,Emission to water,kg,1.64E-10
"Nickel, ion",Emission to water,kg,5.1987E-09
Nitrate,Emission to water,kg,3.3215E-06
Nitrite,Emission to water,kg,6.6168E-08
Nitrogen,Emission to water,kg,3.781E-09
"Nitrogen, organic bound",Emission to water,kg,2.3478E-07
"Oils, unspecified",Emission to water,kg,0.000027145
"PAH, polycyclic aromatic hydrocarbons",Emission to water,kg,6.3337E-09
Phenol,Emission to water,kg,1.0155E-07
Phosphate,Emission to water,kg,3.6705E-07
Phosphorus,Emission to water,kg,7.6076E-09
Polonium-210,Emission to water,kBq,0.000033205
"Potassium, ion",Emission to water,kg,3.3709E-06
Potassium-40,Emission to water,kBq,2.6299E-06
"Radioactive species, Nuclides, unspecified",Emission to water,kBq,0.025496
Radium-224,Emission to water,kBq,0.000039846
Radium-226,Emission to water,kBq,0.000088255
Radium-228,Emission to water,kBq,0.000079691
Rubidium,Emission to water,kg,7.9691E-09
Selenium,Emission to water,kg,2.4581E-10
Silicon,Emission to water,kg,6.0237E-10
"Silver, ion",Emission to water,kg,4.7815E-10
"Sodium, ion",Emission to water,kg,0.00024397
Strontium,Emission to water,kg,1.4459E-06
Strontium-90,Emission to water,kBq,0.00054331
Sulfate,Emission to water,kg,0.000023356
Sulfide,Emission to water,kg,7.0603E-09
Sulfur,Emission to water,kg,1.1689E-08
"Suspended solids, unspecified",Emission to water,kg,0.000070941
t-Butyl methyl ether,Emission to water,kg,5.1964E-09
Thorium-228,Emission to water,kBq,0.00015965
"Titanium, ion",Emission to water,kg,9.6345E-11
"TOC, Total Organic Carbon",Emission to water,kg,0.000028178
Toluene,Emission to water,kg,1.1549E-07
Tributyltin compounds,Emission to water,kg,1.0347E-08
Triethylene glycol,Emission to water,kg,5.1713E-08
Uranium-238,Emission to water,kBq,0.000011163
"Vanadium, ion",Emission to water,kg,4.9015E-10
"VOC, volatile organic compounds, unspecified origin",Emission to water,kg,2.7892E-07
Xylene,Emission to water,kg,9.4453E-08
"Zinc, ion",Emission to water,kg,1.1198E-06
"1,4-Butanediol",Emission to water,kg,6.6078E-12
1-Pentanol,Emission to water,kg,1.0674E-13
1-Pentene,Emission to water,kg,8.0662E-14
2-Aminopropanol,Emission to water,kg,1.173E-14
2-Methyl-1-propanol,Emission to water,kg,1.9899E-13
2-Methyl-2-butene,Emission to water,kg,1.7892E-17
2-Propanol,Emission to water,kg,1.0045E-13
Acenaphthene,Emission to water,kg,1.0869E-11
Acenaphthylene,Emission to water,kg,6.7976E-13
Acetaldehyde,Emission to water,kg,9.4779E-09
Acetic acid,Emission to water,kg,2.7709E-08
Acetone,Emission to water,kg,3.6327E-12
Acetonitrile,Emission to water,kg,3.6198E-14
Acetyl chloride,Emission to water,kg,8.3852E-14
"Acidity, unspecified",Emission to water,kg,3.651E-09
"Acrylate, ion",Emission to water,kg,1.8835E-09
Aluminium,Emission to water,kg,5.5798E-06
"Ammonium, ion",Emission to water,kg,0.000037579
Aniline,Emission to water,kg,5.3748E-13
Antimony,Emission to water,kg,1.8647E-07
Antimony-122,Emission to water,kBq,1.1137E-08
Antimony-124,Emission to water,kBq,6.8624E-06
Antimony-125,Emission to water,kBq,6.2482E-06
"AOX, Adsorbable Organic Halogen as Cl",Emission to water,kg,1.8819E-08
"Arsenic, ion",Emission to water,kg,5.4266E-07
Barium,Emission to water,kg,1.5525E-06
Barium-140,Emission to water,kBq,4.8786E-08
Benzene,Emission to water,kg,2.2284E-07
"Benzene, chloro-",Emission to water,kg,4.5804E-08
"Benzene, ethyl-",Emission to water,kg,4.1941E-08
Beryllium,Emission to water,kg,2.2899E-10
"BOD5, Biological Oxygen Demand",Emission to water,kg,0.00047116
Borate,Emission to water,kg,8.562E-12
Boron,Emission to water,kg,4.5538E-07
Bromate,Emission to water,kg,0.00012884
Bromide,Emission to water,kg,4.8004E-10
Bromine,Emission to water,kg,2.0742E-06
Butanol,Emission to water,kg,5.186E-09
Butene,Emission to water,kg,1.3759E-09
Butyl acetate,Emission to water,kg,6.7417E-09
Butyrolactone,Emission to water,kg,1.1452E-11
"Cadmium, ion",Emission to water,kg,8.409E-09
"Calcium, ion",Emission to water,kg,0.0013795
Carbon disulfide,Emission to water,kg,4.9948E-12
Carbonate,Emission to water,kg,8.558E-07
"Carboxylic acids, unspecified",Emission to water,kg,6.4309E-06
Cerium-141,Emission to water,kBq,1.9506E-08
Cerium-144,Emission to water,kBq,5.9382E-09
Cesium,Emission to water,kg,1.7475E-09
Cesium-134,Emission to water,kBq,5.8382E-06
Cesium-136,Emission to water,kBq,3.4619E-09
Cesium-137,Emission to water,kBq,0.000018057
Chloramine,Emission to water,kg,1.4811E-12
Chlorate,Emission to water,kg,0.00098392
Chloride,Emission to water,kg,0.01115
"Chlorinated solvents, unspecified",Emission to water,kg,2.8171E-07
Chlorine,Emission to water,kg,0.000000011
Chloroacetic acid,Emission to water,kg,7.4054E-10
Chloroacetyl chloride,Emission to water,kg,1.5643E-14
Chloroform,Emission to water,kg,1.053E-10
Chlorosulfonic acid,Emission to water,kg,1.3163E-13
Chromium VI,Emission to water,kg,4.783E-07
"Chromium, ion",Emission to water,kg,2.4244E-08
Chromium-51,Emission to water,kBq,6.7029E-06
Cobalt,Emission to water,kg,1.2593E-08
Cobalt-57,Emission to water,kBq,1.0989E-07
Cobalt-58,Emission to water,kBq,0.00005249
Cobalt-60,Emission to water,kBq,0.000040727
"COD, Chemical Oxygen Demand",Emission to water,kg,0.00054334
"Copper, ion",Emission to water,kg,1.2484E-07
Cumene,Emission to water,kg,8.537E-08
Cyanide,Emission to water,kg,3.0075E-07
Dichromate,Emission to water,kg,9.584E-09
Diethylamine,Emission to water,kg,2.4331E-13
Dimethylamine,Emission to water,kg,4.4266E-13
Dipropylamine,Emission to water,kg,1.4881E-13
Dissolved solids,Emission to water,kg,0.000014879
"DOC, Dissolved Organic Carbon",Emission to water,kg,0.00015528
"Ethane, 1,2-dichloro-",Emission to water,kg,1.7196E-09
Ethanol,Emission to water,kg,1.1943E-08
Ethene,Emission to water,kg,1.8967E-08
"Ethene, chloro-",Emission to water,kg,1.7554E-10
Ethyl acetate,Emission to water,kg,1.0654E-12
Ethylamine,Emission to water,kg,2.1092E-13
Ethylene diamine,Emission to water,kg,2.6764E-12
Ethylene oxide,Emission to water,kg,8.8945E-10
Fluoride,Emission to water,kg,8.0995E-06
Fluosilicic acid,Emission to water,kg,3.6494E-08
Formaldehyde,Emission to water,kg,9.9313E-10
Formamide,Emission to water,kg,1.9523E-13
Formate,Emission to water,kg,1.4685E-11
Formic acid,Emission to water,kg,5.667E-14
"Heat, waste",Emission to water,MJ,1.3093
"Hydrocarbons, aliphatic, alkanes, unspecified",Emission to water,kg,2.2717E-07
"Hydrocarbons, aliphatic, unsaturated",Emission to water,kg,2.097E-08
"Hydrocarbons, aromatic",Emission to water,kg,9.1904E-07
"Hydrocarbons, unspecified",Emission to water,kg,1.402E-07
Hydrogen peroxide,Emission to water,kg,1.7784E-08
Hydrogen sulfide,Emission to water,kg,1.2381E-08
"Hydrogen-3, Tritium",Emission to water,kBq,1.0834
Hydroxide,Emission to water,kg,5.9843E-08
Hypochlorite,Emission to water,kg,2.9756E-07
Iodide,Emission to water,kg,2.0393E-07
Iodine-131,Emission to water,kBq,1.2349E-06
Iodine-133,Emission to water,kBq,3.0627E-08
"Iron, ion",Emission to water,kg,0.000014463
Iron-59,Emission to water,kBq,8.42E-09
Isopropylamine,Emission to water,kg,4.3543E-14
Lactic acid,Emission to water,kg,1.1657E-13
Lanthanum-140,Emission to water,kBq,5.1962E-08
Lead,Emission to water,kg,4.2408E-07
Lead-210,Emission to water,kBq,0.000061637
"Lithium, ion",Emission to water,kg,3.7239E-12
m-Xylene,Emission to water,kg,2.0861E-13
Magnesium,Emission to water,kg,0.000040933
Manganese,Emission to water,kg,7.9706E-07
Manganese-54,Emission to water,kBq,3.2322E-06
Mercury,Emission to water,kg,8.6392E-08
"Methane, dichloro-, HCC-30",Emission to water,kg,4.028E-08
Methanol,Emission to water,kg,3.354E-08
Methyl acetate,Emission to water,kg,4.5052E-15
Methyl acrylate,Emission to water,kg,1.7639E-08
Methyl amine,Emission to water,kg,4.1825E-12
Methyl formate,Emission to water,kg,1.4066E-12
Molybdenum,Emission to water,kg,2.9469E-07
Molybdenum-99,Emission to water,kBq,1.7915E-08
"Nickel, ion",Emission to water,kg,1.0067E-07
Niobium-95,Emission to water,kBq,5.1933E-07
Nitrate,Emission to water,kg,0.00018066
Nitrite,Emission to water,kg,2.0929E-06
Nitrobenzene,Emission to water,kg,1.2198E-12
Nitrogen,Emission to water,kg,0.000010789
"Nitrogen, organic bound",Emission to water,kg,0.000001284
o-Dichlorobenzene,Emission to water,kg,2.2187E-09
"Oils, unspecified",Emission to water,kg,0.00013705
"PAH, polycyclic aromatic hydrocarbons",Emission to water,kg,1.0737E-08
Phenol,Emission to water,kg,1.5084E-07
Phosphate,Emission to water,kg,9.6259E-06
Phosphorus,Emission to water,kg,6.0087E-07
Polonium-210,Emission to water,kBq,0.000061637
"Potassium, ion",Emission to water,kg,0.00003258
Potassium-40,Emission to water,kBq,0.000077374
Propanal,Emission to water,kg,1.5453E-13
Propanol,Emission to water,kg,1.9459E-13
Propene,Emission to water,kg,5.8994E-08
Propionic acid,Emission to water,kg,6.5829E-14
Propylamine,Emission to water,kg,6.1821E-14
Propylene oxide,Emission to water,kg,2.1499E-08
Protactinium-234,Emission to water,kBq,0.000065534
"Radioactive species, alpha emitters",Emission to water,kBq,6.7787E-08
"Radioactive species, Nuclides, unspecified",Emission to water,kBq,0.000077956
Radium-224,Emission to water,kBq,0.000087373
Radium-226,Emission to water,kBq,0.04094
Radium-228,Emission to water,kBq,0.00017475
Rubidium,Emission to water,kg,1.7475E-08
Ruthenium-103,Emission to water,kBq,3.7803E-09
Scandium,Emission to water,kg,2.873E-08
Selenium,Emission to water,kg,4.7051E-08
Silicon,Emission to water,kg,0.000013141
"Silver, ion",Emission to water,kg,1.68E-09
Silver-110,Emission to water,kBq,0.00003785
Sodium formate,Emission to water,kg,3.4536E-10
"Sodium, ion",Emission to water,kg,0.00070199
Sodium-24,Emission to water,kBq,1.3555E-07
"Solids, inorganic",Emission to water,kg,0.0010681
Strontium,Emission to water,kg,3.1712E-06
Strontium-89,Emission to water,kBq,6.6389E-07
Strontium-90,Emission to water,kBq,0.036251
Sulfate,Emission to water,kg,0.0049497
Sulfide,Emission to water,kg,4.7392E-08
Sulfite,Emission to water,kg,1.6539E-06
Sulfur,Emission to water,kg,4.7481E-07
"Suspended solids, unspecified",Emission to water,kg,0.000023885
t-Butyl methyl ether,Emission to water,kg,8.5292E-12
t-Butylamine,Emission to water,kg,1.1435E-13
Technetium-99m,Emission to water,kBq,4.1577E-07
Tellurium-123m,Emission to water,kBq,7.5321E-07
Tellurium-132,Emission to water,kBq,1.0373E-09
Thallium,Emission to water,kg,3.1504E-09
Thorium-228,Emission to water,kBq,0.00034949
Thorium-230,Emission to water,kBq,0.0089415
Thorium-232,Emission to water,kBq,0.000014426
Thorium-234,Emission to water,kBq,0.000065541
"Tin, ion",Emission to water,kg,9.0128E-09
"Titanium, ion",Emission to water,kg,5.4292E-08
"TOC, Total Organic Carbon",Emission to water,kg,0.00015574
Toluene,Emission to water,kg,2.0031E-07
"Toluene, 2-chloro",Emission to water,kg,1.9908E-13
Trimethylamine,Emission to water,kg,8.0881E-15
Tungsten,Emission to water,kg,2.6396E-08
Uranium alpha,Emission to water,kBq,0.0037756
Uranium-234,Emission to water,kBq,0.000078641
Uranium-235,Emission to water,kBq,0.00012976
Uranium-238,Emission to water,kBq,0.00022808
Urea,Emission to water,kg,1.8184E-13
"Vanadium, ion",Emission to water,kg,1.173E-07
"VOC, volatile organic compounds, unspecified origin",Emission to water,kg,7.7573E-07
Xylene,Emission to water,kg,1.6542E-07
"Zinc, ion",Emission to water,kg,8.6322E-07
Zinc-65,Emission to water,kBq,1.8378E-06
Zirconium-95,Emission to water,kBq,2.1282E-08
"Benzene, chloro-",Emission to water,kg,1.9414E-13
Chloride,Emission to water,kg,2.4205E-09
4-Methyl-2-pentanone,Emission to water,kg,2.5921E-13
Acetone,Emission to water,kg,6.1782E-13
"Acidity, unspecified",Emission to water,kg,1.3E-11
Aluminium,Emission to water,kg,3.5387E-09
"Ammonium, ion",Emission to water,kg,7.6204E-10
Antimony,Emission to water,kg,6.9578E-13
"AOX, Adsorbable Organic Halogen as Cl",Emission to water,kg,4.5009E-11
"Arsenic, ion",Emission to water,kg,5.3979E-10
Barium,Emission to water,kg,1.7599E-08
Benzene,Emission to water,kg,1.0368E-10
"Benzene, ethyl-",Emission to water,kg,5.8274E-12
Beryllium,Emission to water,kg,6.1977E-13
"BOD5, Biological Oxygen Demand",Emission to water,kg,1.2818E-06
Boron,Emission to water,kg,1.9412E-10
Bromine,Emission to water,kg,1.3253E-08
"Cadmium, ion",Emission to water,kg,1.8733E-09
"Calcium, ion",Emission to water,kg,1.9879E-07
Chloride,Emission to water,kg,2.8812E-06
Chromium VI,Emission to water,kg,7.9357E-10
"Chromium, ion",Emission to water,kg,4.972E-09
Cobalt,Emission to water,kg,1.3701E-12
"COD, Chemical Oxygen Demand",Emission to water,kg,1.3019E-06
"Copper, ion",Emission to water,kg,6.9117E-09
Cyanide,Emission to water,kg,5.2613E-09
Dissolved solids,Emission to water,kg,0.000002748
"DOC, Dissolved Organic Carbon",Emission to water,kg,1.9053E-07
Fluoride,Emission to water,kg,3.4762E-08
Formaldehyde,Emission to water,kg,4.5009E-09
"Heat, waste",Emission to water,MJ,0.00024914
"Hydrocarbons, unspecified",Emission to water,kg,1.6736E-08
"Iron, ion",Emission to water,kg,3.7864E-07
Lead,Emission to water,kg,4.777E-09
Lead-210,Emission to water,kBq,1.7891E-08
"Lithium, ion",Emission to water,kg,6.646E-08
m-Xylene,Emission to water,kg,1.873E-12
Magnesium,Emission to water,kg,3.8784E-08
Manganese,Emission to water,kg,5.4643E-09
Mercury,Emission to water,kg,3.1741E-10
Methanol,Emission to water,kg,1.3503E-09
Molybdenum,Emission to water,kg,1.4208E-12
"Nickel, ion",Emission to water,kg,1.047E-08
o-Xylene,Emission to water,kg,1.3643E-12
"Oils, unspecified",Emission to water,kg,1.7591E-07
Phenol,Emission to water,kg,4.7776E-10
Phosphorus,Emission to water,kg,4.8129E-10
Radium-226,Emission to water,kBq,8.1856E-08
Radium-228,Emission to water,kBq,1.1518E-07
Selenium,Emission to water,kg,1.374E-13
"Silver, ion",Emission to water,kg,1.2961E-10
"Sodium, ion",Emission to water,kg,0.000021227
Strontium,Emission to water,kg,3.3717E-09
Sulfate,Emission to water,kg,8.5775E-09
Sulfur,Emission to water,kg,1.6391E-10
"Suspended solids, unspecified",Emission to water,kg,1.7205E-06
Thallium,Emission to water,kg,1.4695E-13
"Tin, ion",Emission to water,kg,6.8067E-12
"Titanium, ion",Emission to water,kg,1.068E-11
"TOC, Total Organic Carbon",Emission to water,kg,1.9053E-07
Toluene,Emission to water,kg,9.8033E-11
"Vanadium, ion",Emission to water,kg,1.68E-12
Xylene,Emission to water,kg,4.9504E-11
"Zinc, ion",Emission to water,kg,8.537E-08
